i,target,loss_see,loss_uni,loss_bi,loss_actual,w_see,w_uni,w_bi
195771,115,2.732395,5.350687,3.023577,2.743425,0.978447,0.005620,0.015933
195772,117,3.741897,6.081367,4.415893,3.757054,0.978353,0.005526,0.016121
195773,109,0.445279,5.966473,3.017510,0.472629,0.978390,0.005483,0.016127
195774,41,3.525299,5.934621,6.054644,3.549563,0.979738,0.004984,0.015278
195775,41,7.445557,5.934178,4.008363,7.241694,0.980526,0.004972,0.014501
195776,59,0.201114,5.634935,1.414899,0.222484,0.978113,0.005522,0.016365
195777,10,0.570077,5.079910,0.733535,0.579533,0.978854,0.005026,0.016120
195778,32,0.433674,1.972793,0.419575,0.437917,0.978908,0.004722,0.016370
195779,32,0.004420,1.972772,0.856622,0.020451,0.978464,0.004839,0.016697
195780,32,0.143306,1.972750,0.856599,0.157796,0.978503,0.004894,0.016604
195781,32,0.241242,1.972729,0.856575,0.254614,0.978457,0.004964,0.016579
195782,109,6.430632,5.966079,7.060811,6.436355,0.978354,0.005044,0.016602
195783,101,1.013644,4.447814,3.474830,1.040637,0.977944,0.005444,0.016612
195784,109,0.457900,5.965633,5.515153,0.487684,0.978978,0.005248,0.015774
195785,115,2.837524,5.350490,5.188762,2.859532,0.981295,0.004791,0.013914
195786,101,0.205099,4.447676,2.989772,0.228220,0.981918,0.004778,0.013304
195787,116,1.054858,4.436326,3.671684,1.076128,0.982878,0.004543,0.012579
195788,40,2.218189,5.933824,5.423014,2.239657,0.983594,0.004439,0.011967
195789,111,5.017752,5.618667,7.509462,5.033248,0.984484,0.004307,0.011209
195790,117,0.717006,6.081002,2.470348,0.734426,0.984703,0.004563,0.010734
195791,116,1.051012,4.436196,3.387974,1.068798,0.985261,0.004219,0.010520
195792,45,9.843008,5.379044,8.055437,9.689584,0.985713,0.004145,0.010142
195793,62,8.818221,7.755911,2.920316,8.094824,0.983927,0.005062,0.011011
195794,119,10.989149,8.436219,7.375039,10.752773,0.981025,0.005542,0.013433
195795,97,5.355985,5.237143,2.727042,5.245390,0.978441,0.006299,0.015260
195796,118,0.175152,7.692148,4.712395,0.208260,0.976552,0.006640,0.016808
195797,101,0.105155,4.447596,1.994016,0.128932,0.979315,0.005646,0.015039
195798,95,2.851550,4.991723,4.219481,2.870436,0.980157,0.005293,0.014551
195799,112,4.711217,6.863237,5.334800,4.724438,0.980406,0.005296,0.014298
195800,114,2.673561,5.447458,2.429244,2.676264,0.980343,0.005297,0.014361
195801,111,1.347135,5.618394,4.425202,1.373299,0.980007,0.005204,0.014790
195802,106,12.401136,8.819385,7.144998,11.751579,0.981254,0.004915,0.013831
195803,44,7.501143,6.800403,7.843398,7.500940,0.977752,0.005785,0.016463
195804,32,5.116769,1.972869,0.217625,4.505136,0.977152,0.006236,0.016613
195805,48,1.967714,6.711364,6.291248,2.004848,0.973348,0.007157,0.019495
195806,44,1.075490,6.799605,3.777801,1.106462,0.975948,0.006555,0.017497
195807,32,0.080993,1.972862,0.217508,0.089343,0.977648,0.005862,0.016490
195808,115,5.255478,5.350359,6.055124,5.266338,0.977386,0.005868,0.016746
195809,105,1.618514,4.721841,2.974290,1.641228,0.977145,0.006182,0.016673
195810,122,0.470869,8.243373,4.078107,0.501405,0.977688,0.005967,0.016345
195811,101,0.021595,4.447539,0.848317,0.038120,0.979902,0.005068,0.015030
195812,111,1.379715,5.618113,5.925906,1.407202,0.980233,0.004771,0.014995
195813,102,0.376354,6.200556,4.331129,0.401135,0.982023,0.004541,0.013436
195814,40,0.273474,5.933566,2.946193,0.294435,0.983568,0.004151,0.012281
195815,111,8.794183,5.617774,7.435879,8.725003,0.984487,0.003838,0.011675
195816,117,0.475815,6.080695,2.469485,0.495854,0.982981,0.004547,0.012471
195817,116,0.380429,4.436228,3.383647,0.401510,0.983736,0.004179,0.012085
195818,45,12.431343,5.378930,8.014950,11.613091,0.984581,0.004035,0.011383
195819,62,9.690883,7.754512,2.918409,8.395818,0.981415,0.005302,0.013283
195820,119,12.393218,8.433863,7.183635,11.643259,0.977533,0.005928,0.016539
195821,97,6.299332,5.237057,2.717210,6.009449,0.973439,0.006979,0.019583
195822,118,0.235106,7.690819,4.705740,0.276876,0.970424,0.007513,0.022063
195823,101,0.161589,4.447466,1.990446,0.191003,0.973949,0.006360,0.019690
195824,95,3.850343,4.991680,4.216887,3.861207,0.975081,0.005931,0.018988
195825,112,4.142610,6.862572,5.325980,4.165634,0.974837,0.006061,0.019102
195826,114,2.695991,5.447328,2.425986,2.697691,0.975308,0.005920,0.018772
195827,111,1.106720,5.617501,4.418992,1.140046,0.974974,0.005781,0.019245
195828,106,12.236564,8.816255,7.098711,11.504758,0.976825,0.005390,0.017785
195829,41,5.241852,5.934126,5.623098,5.252374,0.972733,0.006279,0.020988
195830,41,6.480777,5.933683,4.002503,6.344159,0.972451,0.006480,0.021070
195831,59,0.250783,5.634974,1.414621,0.279125,0.970131,0.006902,0.022967
195832,10,0.123333,5.080066,0.733307,0.143351,0.971258,0.006211,0.022531
195833,32,0.270448,1.973024,0.419494,0.279341,0.971851,0.005687,0.022461
195834,32,0.000893,1.973003,0.856638,0.021849,0.971585,0.005734,0.022681
195835,32,0.107194,1.972981,0.856615,0.126443,0.971825,0.005738,0.022437
195836,32,0.164984,1.972960,0.856592,0.183268,0.971975,0.005758,0.022267
195837,10,3.416726,5.079854,6.670128,3.451441,0.972076,0.005786,0.022138
195838,32,0.039372,1.972946,0.419414,0.052485,0.973715,0.005845,0.020440
195839,32,0.003586,1.972924,0.856597,0.023223,0.973621,0.005846,0.020533
195840,32,0.132870,1.972903,0.856574,0.150632,0.973812,0.005843,0.020344
195841,32,0.127067,1.972881,0.856550,0.144867,0.973903,0.005862,0.020236
195842,102,5.187266,6.200228,5.591933,5.198690,0.973996,0.005878,0.020126
195843,111,0.602678,5.617258,2.373189,0.632013,0.973763,0.006032,0.020205
195844,114,0.022128,5.447139,2.280108,0.052497,0.974962,0.005527,0.019510
195845,40,1.254005,5.933344,3.577087,1.282726,0.976378,0.005036,0.018586
195846,105,0.067805,4.721919,2.472821,0.095291,0.977602,0.004714,0.017684
195847,110,0.281265,5.141955,1.529181,0.301620,0.978764,0.004436,0.016800
195848,116,0.475740,4.436297,1.697525,0.495111,0.979312,0.004168,0.016520
195849,32,0.312611,1.972911,2.289455,0.334250,0.979705,0.004035,0.016260
195850,107,4.459403,7.843197,7.887795,4.485575,0.980169,0.004173,0.015659
195851,61,0.353043,4.899838,4.793116,0.378865,0.981418,0.004107,0.014475
195852,48,0.096683,6.710939,4.348385,0.120272,0.983059,0.003921,0.013020
195853,59,0.080783,5.634770,1.500015,0.096551,0.984639,0.003553,0.011809
195854,32,0.384457,1.972919,1.788933,0.398197,0.985009,0.003341,0.011650
195855,107,2.036055,7.841545,7.881035,2.057498,0.984984,0.003518,0.011499
195856,60,0.302255,8.182589,4.794416,0.320886,0.986711,0.003293,0.009996
195857,49,8.107219,7.341742,4.773624,7.990202,0.987987,0.002935,0.009078
195858,54,0.677603,7.422738,3.345775,0.695046,0.986324,0.003331,0.010345
195859,59,1.693687,5.634449,4.259324,1.709751,0.987058,0.003055,0.009887
